               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033493,            0.018578,           0.0037939,             0.97706,             0.98767,             0.99383,             0.68969,            0.028927,            0.011227,           0.0022548,             0.00307,             0.00307,             0.00307
                  37,            0.032821,             0.01831,           0.0036806,             0.97318,             0.98507,              0.9932,             0.70997,             0.02826,            0.010948,            0.002204,            0.002872,            0.002872,            0.002872
                  38,            0.032085,            0.019199,           0.0035898,             0.97553,             0.99282,             0.99336,             0.71731,            0.027721,            0.011009,           0.0021631,            0.002674,            0.002674,            0.002674
                  39,            0.031498,            0.017935,             0.00366,             0.98031,             0.97189,             0.99136,             0.71241,            0.028096,            0.011307,           0.0022714,            0.002476,            0.002476,            0.002476
                  40,            0.031695,            0.017287,           0.0035294,             0.97267,             0.98826,             0.99292,             0.73237,             0.02696,            0.011076,            0.002111,            0.002278,            0.002278,            0.002278
                  41,            0.030961,            0.017348,           0.0034635,             0.97785,             0.99038,             0.99391,             0.74461,            0.026096,            0.010738,           0.0020529,             0.00208,             0.00208,             0.00208
                  42,            0.031345,            0.017565,           0.0035658,             0.98237,             0.99148,             0.99423,             0.72993,            0.026883,            0.010544,           0.0020353,            0.001882,            0.001882,            0.001882
                  43,            0.030158,            0.017561,            0.003758,             0.98039,             0.99268,             0.99379,             0.75326,            0.026004,            0.010427,            0.002056,            0.001684,            0.001684,            0.001684
                  44,            0.029774,            0.017634,           0.0032455,              0.9783,              0.9898,             0.99347,             0.76071,            0.025373,            0.010193,           0.0019891,            0.001486,            0.001486,            0.001486
                  45,            0.029664,            0.016974,           0.0036094,             0.98378,             0.98718,             0.99349,             0.76692,            0.025375,            0.010206,           0.0019221,            0.001288,            0.001288,            0.001288
                  46,            0.030023,            0.017774,           0.0037452,              0.9789,             0.98752,             0.99372,             0.76217,            0.025668,            0.010202,           0.0019105,             0.00109,             0.00109,             0.00109
                  47,            0.029052,            0.017526,           0.0035699,             0.98472,             0.98462,             0.99402,             0.76562,             0.02526,            0.010118,           0.0018991,            0.000892,            0.000892,            0.000892
                  48,            0.029197,            0.017709,           0.0034347,             0.98222,             0.99199,             0.99422,             0.77298,            0.025008,            0.010065,           0.0018756,            0.000694,            0.000694,            0.000694
                  49,            0.029228,            0.017931,            0.003077,             0.98766,             0.98845,             0.99433,             0.77505,            0.024627,            0.010059,           0.0018529,            0.000496,            0.000496,            0.000496
